"Date"	"Country"	"Reg"	"Infl"	"Fuel"	"Sent"	"ST"	"LT"	"Unem"
2010-02-01	"Italy"	201638	1	1312.875	-21.8	0.6617	4.047	9.2
2010-02-01	"Latvia"	329	-8.2	1046.8025	-37.8	3.16	13.62	21.3
2010-02-01	"Lithuania"	435	-10.4	1134.89	-41.2	2.24	7.15	18.4
2010-02-01	"Luxembourg"	4081	1.3	1110.19	-6.4	0.6617	NA	5
2010-02-01	"Netherlands"	37566	-0.5	1436.5	-1.2	0.6617	3.356	5.5
2010-02-01	"Poland"	24398	1.5	1075.075	-18.9	4.15	6.09	10.8
2010-02-01	"Slovakia"	3476	-12.1	1176	-18.7	0.6617	4.08	15.4
2010-02-01	"Slovenia"	4914	-7	1154.5	-21.9	0.6617	3.84	7.2
2010-02-01	"Spain"	91281	-3.3	1101.83	-18.8	0.6617	3.9781	19.9
2010-02-01	"Sweden"	17972	3.1	1255.37	21.7	0.22	3.28	9.3
2010-02-01	"United.Kingdom"	68686	3.5	1278.715	-2.2	0.575	4.0624	8.1
2010-03-01	"Austria"	33270	-0.2	1171	-1.9	0.645	3.53	5.4
2010-03-01	"Belgium"	64330	0.4	1388.2	-12	0.645	3.63	8.5
2010-03-01	"Czech.Republic"	17473	-8.9	1222.928	-10.3	1.43	4.02	7.8
2010-03-01	"Denmark"	13935	-0.8	1443.492	11.4	1.3717	3.3997	7.9
2010-03-01	"Estonia"	864	-9.3	1105.234	-12.9	1.86	NA	19.7
2010-03-01	"Finland"	8698	-2.8	1383.932	16.5	0.645	3.26	9.1
2010-03-01	"France"	242707	0.4	1348.86	-19	0.645	3.437391	9.5
2010-03-01	"Germany"	294374	-0.2	1394.05	-13.2	0.645	3.1	7.6
2010-03-01	"Greece"	19053	-7.6	1378.8	-57.5	0.645	6.24	11.8
2010-03-01	"Hungary"	4392	6.1	1233.386	-38.8	6.649	7.16	11.8
2010-03-01	"Ireland"	13650	-5	1261.2	-29.8	0.645	4.53	13.9
2010-03-01	"Italy"	259115	0.9	1360.548	-22	0.645	3.945	8.8
2010-03-01	"Latvia"	466	-8.2	1062.644	-31.9	2.33	10.54	21.5
2010-03-01	"Lithuania"	501	-11.3	1154.118	-38.9	1.874091	5.15	18.5
2010-03-01	"Luxembourg"	5806	1.3	1156.764	-2.4	0.645	NA	4.7
2010-03-01	"Netherlands"	44751	-0.4	1493	0.4	0.645	3.368	5.4
2010-03-01	"Poland"	29348	1.9	1131.764	-15.8	4.1	5.72	10.7
2010-03-01	"Slovakia"	5397	-11.8	1217	-17.1	0.645	4.01	15.3
2010-03-01	"Slovenia"	6040	-7.7	1169.6	-25.5	0.645	3.94	7.2
2010-03-01	"Spain"	124756	-3.3	1147.774	-21.8	0.645	3.830478	20.2
2010-03-01	"Sweden"	25652	3.6	1328.318	22.5	0.23	3.2	9.3
2010-03-01	"United.Kingdom"	397383	4.7	1273.786	-5	0.6011	4.0915	7.9
2010-04-01	"Austria"	31723	-0.4	1222.33333333333	5	0.6447	3.46	5.2
2010-04-01	"Belgium"	57309	0.3	1449.33333333333	-6.8	0.6447	3.54	8.3
2010-04-01	"Czech.Republic"	15283	-8.8	1268.22333333333	-5	1.42	3.84	7.2
2010-04-01	"Denmark"	11943	-0.8	1475.3	16.6	1.2835	3.3428	7.7
2010-04-01	"Estonia"	861	-8.4	1140.52333333333	-10.5	1.79	NA	19.2
2010-04-01	"Finland"	10089	-2.4	1437.02333333333	19.4	0.6447	3.36	9.3
2010-04-01	"France"	190917	0.3	1375.63333333333	-19.6	0.6447	3.401619	9.3
2010-04-01	"Germany"	259414	-0.2	1429	-6.5	0.6447	3.06	7.2
2010-04-01	"Greece"	12448	-6.8	1446	-60.6	0.6447	7.83	12.2
2010-04-01	"Hungary"	3662	6.1	1274.97	-33.4	6.1355	6.57	11.5
2010-04-01	"Ireland"	8469	-5	1292	-25	0.6447	5.2	14.2
2010-04-01	"Italy"	160919	0.8	1391.47	-21.2	0.6447	3.9956	8.8
2010-04-01	"Latvia"	458	-8.1	1114.40666666667	-33.7	2.14	10.13	21.3
2010-04-01	"Lithuania"	581	-11	1188.99333333333	-38.7	1.569048	5.15	18.7
2010-04-01	"Luxembourg"	5941	1.3	1187.66666666667	-4.3	0.6447	NA	4.4
2010-04-01	"Netherlands"	37543	-0.4	1541.66666666667	-4.5	0.6447	3.321	5.1
2010-04-01	"Poland"	25314	1.9	1175.95	-16.1	3.86	5.57	10
2010-04-01	"Slovakia"	4836	-11.6	1254	-15.9	0.6447	3.93	14.8
2010-04-01	"Slovenia"	5626	-8.4	1206.33333333333	-22.8	0.6447	3.94	7.2
2010-04-01	"Spain"	93637	-3.3	1179.51666666667	-19.6	0.6447	3.901421	20.2
2010-04-01	"Sweden"	25668	4.1	1367.15	25.4	0.29	3.14	9.7
2010-04-01	"United.Kingdom"	148793	5.7	1377.06666666667	-6.3	0.625	4.1007	7.6
2010-05-01	"Austria"	29057	-0.7	1219.6	0.2	0.6865	3.21	4.8
2010-05-01	"Belgium"	47725	0.3	1456.2	-11.3	0.6865	3.31	8
2010-05-01	"Czech.Republic"	15920	-8.7	1268.06	-9.8	1.27	4.1	7.3
2010-05-01	"Denmark"	12958	-0.7	1464.528	17.3	1.252	2.9282	7.5
2010-05-01	"Estonia"	911	-7.4	1142.588	-5.4	1.67	NA	18.3
2010-05-01	"Finland"	10312	-1.9	1439.818	17.2	0.6865	3.03	10.5
2010-05-01	"France"	186268	0	1368.66	-21.3	0.6865	3.075667	9.1
2010-05-01	"Germany"	249708	-0.2	1418.6	-9.3	0.6865	2.73	6.9
2010-05-01	"Greece"	11928	-5.4	1503	-66.9	0.6865	7.97	12.1
2010-05-01	"Hungary"	3402	5.9	1242.4	-26	6.23	7.07	11.2
2010-05-01	"Ireland"	8594	-5	1320	-21.4	0.6865	4.74	14.6
2010-05-01	"Italy"	164704	0.7	1386.158	-24.6	0.6865	3.99	8.3
2010-05-01	"Latvia"	481	-7.8	1110.428	-29.1	2.26	10.13	20.4
2010-05-01	"Lithuania"	658	-10.4	1202.564	-37.7	1.466667	5.15	18.1
2010-05-01	"Luxembourg"	5158	1.2	1187.62	-4	0.6865	3.152167	4.2
2010-05-01	"Netherlands"	36827	-0.5	1512.2	-1.1	0.6865	3.018	5
2010-05-01	"Poland"	25648	1.7	1157.964	-16	3.86	5.72	9.5
2010-05-01	"Slovakia"	4930	-11.5	1273.6	-18.6	0.6865	3.82	14.4
2010-05-01	"Slovenia"	5739	-9	1214.2	-23.4	0.6865	3.82	7.1
2010-05-01	"Spain"	102874	-3.4	1174.542	-24.4	0.6865	4.084143	19.9
2010-05-01	"Sweden"	24994	4.4	1354.712	24.4	0.28	2.73	9
2010-05-01	"United.Kingdom"	153095	6.5	1401.65	-9.6	0.6776	3.7772	7.6
2010-06-01	"Austria"	32957	-0.9	1210	2.9	0.7276	3.2	4.7
2010-06-01	"Belgium"	53872	0.3	1443	-7.7	0.7276	3.47	8
2010-06-01	"Czech.Republic"	18571	-8.9	1263.2525	-5.9	1.24	4.26	6.9
2010-06-01	"Denmark"	15526	-0.7	1471.12	14.5	1.152	2.7013	7.5
2010-06-01	"Estonia"	896	-6.8	1122.1625	-3.3	1.47	NA	17.2
2010-06-01	"Finland"	11817	-1.3	1444.8175	19.7	0.7276	2.92	8.8
2010-06-01	"France"	240531	-0.3	1356.425	-22	0.7276	3.073213	8.6
2010-06-01	"Germany"	289259	-0.2	1428.25	-9.5	0.7276	2.54	6.7
2010-06-01	"Greece"	14790	-3.8	1492.25	-66.8	0.7276	9.1	11.8
2010-06-01	"Hungary"	4259	5.6	1215.265	-21.8	5.4332	7.6	11
2010-06-01	"Ireland"	8404	-5	1336.5	-22.9	0.7276	5.5	15
2010-06-01	"Italy"	171753	0.7	1383.9125	-21.8	0.7276	4.1	7.8
2010-06-01	"Latvia"	631	-7.6	1097.775	-27.3	2.09	10.12	19.4
2010-06-01	"Lithuania"	663	-9.7	1202.555	-36.6	1.635238	5.15	17.9
2010-06-01	"Luxembourg"	5155	1.2	1173.015	-0.4	0.7276	3.008591	4.2
2010-06-01	"Netherlands"	50681	-0.5	1513.5	-3.4	0.7276	2.899	4.9
2010-06-01	"Poland"	28226	1.4	1138.4075	-18.7	3.87	5.87	9.2
2010-06-01	"Slovakia"	6154	-11.5	1270.25	-18.2	0.7276	3.73	14.3
2010-06-01	"Slovenia"	5913	-9.6	1202.5	-21.2	0.7276	3.83	7.1
2010-06-01	"Spain"	121484	-3.4	1168.52	-24.8	0.7276	4.5555	19.6
2010-06-01	"Sweden"	28270	4.7	1364.1725	27.5	0.27	2.61	9.6
2010-06-01	"United.Kingdom"	195226	7	1425.505	-10.8	0.7682	3.6007	7.8
2010-07-01	"Austria"	28977	-1	1197.75	6.9	0.8488	3.07	4.8
2010-07-01	"Belgium"	39309	0.3	1425.5	-4.9	0.8488	3.29	8.8
2010-07-01	"Czech.Republic"	11410	-9.1	1282.27	-6.5	1.23	3.97	7.3
2010-07-01	"Denmark"	11659	-0.7	1440.36	18.2	1.1341	2.7158	7.5
2010-07-01	"Estonia"	891	-6	1103.5325	-2.7	1.4	NA	15.9
2010-07-01	"Finland"	6965	-0.7	1454.065	21.4	0.8488	2.85	7.5
2010-07-01	"France"	169944	-0.5	1336.425	-22.3	0.8488	2.988031	8.4
2010-07-01	"Germany"	237428	-0.2	1387	0.1	0.8488	2.62	6.8
2010-07-01	"Greece"	11539	-2.2	1507.5	-66.5	0.8488	10.34	12.5
2010-07-01	"Hungary"	4362	4.8	1204.17	-27.2	6.1748	7.39	11
2010-07-01	"Ireland"	6311	-5.1	1333	-20.8	0.8488	5.04	15
2010-07-01	"Italy"	153886	0.7	1367.755	-20.3	0.8488	4.03	7.5
2010-07-01	"Latvia"	614	-7.3	1100.2975	-29.3	1.74	10	18.8
2010-07-01	"Lithuania"	709	-9.2	1195.795	-31	1.698095	5.15	18.2
2010-07-01	"Luxembourg"	4434	1.1	1158.56	5.2	0.8488	2.984636	4.2
2010-07-01	"Netherlands"	38487	-0.4	1489.5	-0.2	0.8488	2.853	4.7
2010-07-01	"Poland"	24488	0.9	1139.66	-14	3.82	5.84	9.1
2010-07-01	"Slovakia"	5591	-11.5	1274	-18.5	0.8488	3.93	14.3
2010-07-01	"Slovenia"	5329	-10	1220	-27.2	0.8488	3.87	7
2010-07-01	"Spain"	82169	-3.1	1169.17	-25.8	0.8488	4.433091	19.4
2010-07-01	"Sweden"	20375	4.6	1335.1225	26.4	0.39	2.7	8.2
2010-07-01	"United.Kingdom"	136446	7.3	1400.97	-17.4	0.775	3.5087	7.9
2010-08-01	"Austria"	24693	-1.2	1190	8.8	0.8955	2.77	4.7
2010-08-01	"Belgium"	37540	0.3	1405.6	-2.4	0.8955	3.03	8.7
2010-08-01	"Czech.Republic"	12112	-9.3	1284.906	-12.1	1.24	3.56	7.2
2010-08-01	"Denmark"	11751	-0.6	1434.99	15.5	1.1451	2.4457	7.3
2010-08-01	"Estonia"	795	-5.3	1098.256	-0.7	1.29	NA	15.4
2010-08-01	"Finland"	8281	-0.2	1449.534	23.2	0.8955	2.62	7.3
2010-08-01	"France"	105166	-0.5	1323.28	-18.2	0.8955	2.678455	8.9
2010-08-01	"Germany"	200885	-0.2	1382.8	2.9	0.8955	2.35	6.5
2010-08-01	"Greece"	7167	-0.6	1501.6	-61.3	0.8955	10.7	12.5
2010-08-01	"Hungary"	3000	3.8	1208.584	-22.5	5.8163	7.07	10.8
2010-08-01	"Ireland"	5036	-5.3	1331.8	-23.8	0.8955	5.68	15
2010-08-01	"Italy"	69262	0.7	1361.114	-21.3	0.8955	3.8	6.7
2010-08-01	"Latvia"	555	-7	1087.748	-26.6	1.28	10	18.5
2010-08-01	"Lithuania"	617	-8.3	1182.168	-25.8	1.696818	5.15	17.6
2010-08-01	"Luxembourg"	2538	1.1	1145.924	5.6	0.8955	2.665045	4.2
2010-08-01	"Netherlands"	36522	-0.5	1482.2	0.6	0.8955	2.558	4.7
2010-08-01	"Poland"	22625	0.4	1141.45	-19.1	3.81	5.62	9.1
2010-08-01	"Slovakia"	5206	-11.6	1263.4	-21.3	0.8955	3.73	14
2010-08-01	"Slovenia"	4338	-10.6	1212	-27.4	0.8955	3.67	7.1
2010-08-01	"Spain"	44578	-2.7	1163.902	-19.8	0.8955	4.037182	19.6
2010-08-01	"Sweden"	22376	4.4	1337.388	25.8	0.45	2.45	7.7
2010-08-01	"United.Kingdom"	55305	7.1	1410.462	-13.1	0.7655	3.233	7.9
2010-09-01	"Austria"	28115	-1.4	1193.75	9	0.8805	2.8	4.8
2010-09-01	"Belgium"	36945	0.3	1391.7	-3	0.8805	3.12	8.5
2010-09-01	"Czech.Republic"	13296	-9.5	1278.8575	-12.8	1.22	3.34	6.8
2010-09-01	"Denmark"	13533	-0.6	1421.2775	12.7	1.146	2.3953	7.2
2010-09-01	"Estonia"	969	-4.6	1101.485	-1.6	1.16	NA	15
2010-09-01	"Finland"	9299	0.4	1439.0075	23.8	0.8805	2.58	7
2010-09-01	"France"	169944	-0.3	1327.225	-17.5	0.8805	2.678318	8.9
2010-09-01	"Germany"	259748	-0.2	1366.75	4.7	0.8805	2.3	6.5
2010-09-01	"Greece"	5994	1.1	1493	-66.8	0.8805	11.34	12.8
2010-09-01	"Hungary"	3554	2.6	1219.245	-24	6.4057	7.04	10.8
2010-09-01	"Ireland"	4288	-5.5	1324	-32.2	0.8805	6.57	14.6
2010-09-01	"Italy"	155231	0.7	1355.435	-22.1	0.8805	3.86	8.1
2010-09-01	"Latvia"	531	-6.6	1082.91	-27.5	1.19	9.97	18.3
2010-09-01	"Lithuania"	724	-7.6	1179.17	-27.3	1.646818	5.15	17.2
2010-09-01	"Luxembourg"	3297	1	1143.3625	4.3	0.8805	2.672591	4.4
2010-09-01	"Netherlands"	45544	-0.5	1486.5	1.1	0.8805	2.524	4.9
2010-09-01	"Poland"	27902	-0.3	1143.59	-21.4	3.84	5.49	9.2
2010-09-01	"Slovakia"	5230	-11.8	1251.25	-22.6	0.8805	3.59	14.3
2010-09-01	"Slovenia"	4825	-11.1	1202.75	-27.5	0.8805	3.64	7
2010-09-01	"Spain"	56282	-2.2	1166.8075	-19	0.8805	4.094636	19.8
2010-09-01	"Sweden"	25912	4.1	1358	28	0.52	2.53	7.9
2010-09-01	"United.Kingdom"	335246	6.6	1368.9975	-16.7	0.725	3.1271	8
2010-10-01	"Austria"	28713	-1.4	1190	10.8	0.9977	2.82	4.5
2010-10-01	"Belgium"	43570	0.3	1399.125	-3.2	0.9977	3.21	8.1
2010-10-01	"Czech.Republic"	13166	-10.3	1281.9	-15.9	1.2	3.43	7
2010-10-01	"Denmark"	13600	-0.6	1418.5025	12.6	1.1913	2.4556	7.2
2010-10-01	"Estonia"	1067	-3.9	1105.67	-4.5	1.08	NA	14.5
2010-10-01	"Finland"	9166	0.9	1431.4575	22.5	0.9977	2.63	7.4
2010-10-01	"France"	171950	-0.2	1341.175	-17.4	0.9977	2.718658	9.3
2010-10-01	"Germany"	256775	-0.2	1381	6.7	0.9977	2.35	6.5
2010-10-01	"Greece"	7807	2.8	1494.75	-72.4	0.9977	9.57	13.8
2010-10-01	"Hungary"	3644	1.7	1238.495	-20.4	5.8965	6.87	10.7
2010-10-01	"Ireland"	3259	-5.7	1316	-38.5	0.9977	6.92	14.9
2010-10-01	"Italy"	140418	0.8	1352.2325	-22.2	0.9977	3.8	9
2010-10-01	"Latvia"	577	-6	1084.635	-23.1	1.22	9.24	17.9
2010-10-01	"Lithuania"	943	-7	1171.2975	-23.5	1.607619	5.15	17.2
2010-10-01	"Luxembourg"	3832	1	1148.88	4.2	0.9977	2.733191	4.7
2010-10-01	"Netherlands"	43572	-0.5	1480.75	3.5	0.9977	2.577	4.9
2010-10-01	"Poland"	30362	-0.9	1141.99	-20.6	3.85	5.53	9.2
2010-10-01	"Slovakia"	6121	-12.3	1254.5	-26.8	0.9977	3.67	14.1
2010-10-01	"Slovenia"	4894	-11.5	1215.25	-25.8	0.9977	3.56	7.6
2010-10-01	"Spain"	61367	-1.7	1168.675	-19.6	0.9977	4.036524	20.1
2010-10-01	"Sweden"	26420	3.8	1358.75	24.8	0.81	2.64	7.7
2010-10-01	"United.Kingdom"	131495	6	1333.8775	-16.1	0.725	3.0685	7.8
2010-11-01	"Austria"	28024	-1.5	1202.5	9.9	1.042	3.01	4.4
2010-11-01	"Belgium"	40537	0.4	1396.55	-0.4	1.042	3.48	7.8
2010-11-01	"Czech.Republic"	15258	-11.1	1278.5725	-13.2	1.22	3.59	6.8
2010-11-01	"Denmark"	13962	-0.6	1451.1375	9	1.2388	2.6516	7.3
2010-11-01	"Estonia"	956	-3.2	1117.27	-6.2	1.13	NA	13.5
2010-11-01	"Finland"	7767	1.3	1436.6125	21.7	1.042	2.82	7.1
2010-11-01	"France"	193913	-0.1	1359.4	-16.6	1.042	2.997419	9.7
2010-11-01	"Germany"	262262	-0.1	1401.75	10.9	1.042	2.53	6.3
2010-11-01	"Greece"	6771	3.6	1512.75	-69	1.042	11.52	14.3
2010-11-01	"Hungary"	3477	1	1235.1125	-22.2	5.8669	7.38	10.8
2010-11-01	"Ireland"	1521	-5.9	1312.5	-40.3	1.042	9.25	15
2010-11-01	"Italy"	146088	0.8	1376.8675	-22.4	1.042	4.18	8.7
2010-11-01	"Latvia"	650	-5.6	1098.5425	-24	0.95	8.99	17.7
2010-11-01	"Lithuania"	843	-6.5	1166.765	-22	1.593809	5.15	17
2010-11-01	"Luxembourg"	3445	1	1161.35	5.8	1.042	2.935091	4.9
2010-11-01	"Netherlands"	36920	-0.6	1505.5	4.2	1.042	2.785	4.9
2010-11-01	"Poland"	33918	-1.5	1143.6125	-21.1	3.88	5.82	9.3
2010-11-01	"Slovakia"	6442	-12.5	1265.75	-18.6	1.042	3.8	13.9
2010-11-01	"Slovenia"	4756	-11.8	1221.5	-21.2	1.042	3.77	7.6
2010-11-01	"Spain"	64515	-1.2	1191.7525	-20.7	1.042	4.685905	20.2
2010-11-01	"Sweden"	26752	3.4	1371.7175	24.3	1.11	2.86	7.4
2010-11-01	"United.Kingdom"	139875	5.3	1395.23	-18.4	0.725	3.311	7.6
2010-12-01	"Austria"	20366	-1.6	1249.66666666667	6.2	1.0217	3.43	4.4
2010-12-01	"Belgium"	29243	0.4	1452.46666666667	-1.7	1.0217	3.99	7.7
2010-12-01	"Czech.Republic"	15155	-11.6	1298.17666666667	-11.1	1.22	3.89	6.8
2010-12-01	"Denmark"	15472	-0.6	1511.39	9.9	1.2117	3.012	7.6
2010-12-01	"Estonia"	764	-2.6	1163.74333333333	-3.7	1.13	NA	14.3
2010-12-01	"Finland"	5846	1.6	1483.52666666667	15.8	1.0217	3.19	7.9
2010-12-01	"France"	228316	0	1405.5	-17.5	1.0217	3.341565	9.6
2010-12-01	"Germany"	230371	-0.1	1458	9.6	1.0217	2.91	6.5
2010-12-01	"Greece"	3691	4.4	1564	-75.4	1.0217	12.01	15.2
2010-12-01	"Hungary"	3902	0.3	1277.42666666667	-25.2	6.1743	7.92	11.2
2010-12-01	"Ireland"	434	-5.8	1317	-38.4	1.0217	9.06	15.3
2010-12-01	"Italy"	131298	1	1416.37	-22.9	1.0217	4.603	8.2
2010-12-01	"Latvia"	804	-5.2	1134.96333333333	-26.4	0.83	7.55	17.6
2010-12-01	"Lithuania"	857	-5.9	1236.32	-21.8	1.557273	5.15	17.5
2010-12-01	"Luxembourg"	2503	1	1220.88333333333	1.5	1.0217	3.31913	5.1
2010-12-01	"Netherlands"	11393	-0.6	1561.33333333333	-0.9	1.0217	3.155	4.7
2010-12-01	"Poland"	35890	-2	1178.14333333333	-23	3.95	5.98	9.6
2010-12-01	"Slovakia"	7733	-12.8	1288	-23	1.0217	4.06	14
2010-12-01	"Slovenia"	3551	-11.7	1246	-23.2	1.0217	4.11	8.1
2010-12-01	"Spain"	68942	-0.7	1235.83	-22.8	1.0217	5.374381	20.2
2010-12-01	"Sweden"	29770	3	1458.72333333333	23.8	1.28	3.21	7.6
2010-12-01	"United.Kingdom"	123817	4.4	1436.79333333333	-18	0.7655	3.6098	7.6
2011-01-01	"Austria"	25584	-1.6	1287.2	9.5	1.0172	3.54	4.7
2011-01-01	"Belgium"	53236	0.4	1488.96	-2.6	1.0172	4.14	7.5
2011-01-01	"Czech.Republic"	11692	-11.5	1368.814	-12.4	1.2	3.98	7.3
2011-01-01	"Denmark"	12375	-0.6	1539.46	9.7	1.2161	3.0519	7.8
2011-01-01	"Estonia"	1323	-2	1199	0.7	1.0172	NA	14.9
2011-01-01	"Finland"	13358	1.8	1507.524	18.7	1.0172	3.27	8.2
2011-01-01	"France"	185521	0	1452.58	-18.9	1.0172	3.442857	9.8
2011-01-01	"Germany"	211056	-0.1	1469.6	8.9	1.0172	3.02	6.8
2011-01-01	"Greece"	9747	4.9	1614.4	-72.1	1.0172	11.73	15.4
2011-01-01	"Hungary"	3429	-0.3	1323.522	-26.9	6.132	7.7	11.6
2011-01-01	"Ireland"	20998	-5.6	1347	-39.8	1.0172	9.15	15.2
2011-01-01	"Italy"	165172	1.1	1456.824	-25.9	1.0172	4.729	8.5
2011-01-01	"Latvia"	732	-4.7	1209.724	-23.2	0.85	5.38	17.4
2011-01-01	"Lithuania"	846	-5.3	1260.504	-20.9	1.357619	5.15	17.4
2011-01-01	"Luxembourg"	3353	1	1237.578	4	1.0172	3.304095	5
2011-01-01	"Netherlands"	74787	-0.8	1591.136	5.2	1.0172	3.228	5.2
2011-01-01	"Poland"	24528	-2.4	1237.28	-20.9	4.09	6.26	10
2011-01-01	"Slovakia"	4422	-13	1370.8	-27.5	1.0172	4.16	14.2
2011-01-01	"Slovenia"	5562	-11.5	1272.6	-23.3	1.0172	4.29	8.6
2011-01-01	"Spain"	53634	-0.3	1267.444	-21	1.0172	5.379333	20.8
2011-01-01	"Sweden"	19244	2.5	1490.122	26.4	1.49	3.28	8.4
2011-01-01	"United.Kingdom"	128811	3.6	1502.182	-20.8	0.825	3.7273	7.8
2011-02-01	"Austria"	26412	-1.5	1302.75	9.8	1.0867	3.68	5.8
2011-02-01	"Belgium"	53135	0.5	1499.25	0.6	1.0867	4.21	7.2
2011-02-01	"Czech.Republic"	12879	-11	1374.7225	-13.3	1.21	4.05	7.4
2011-02-01	"Denmark"	11552	-0.7	1562.5475	9	1.2398	3.23	8.1
2011-02-01	"Estonia"	936	-1.5	1207.75	-0.7	1.0867	NA	14.3
2011-02-01	"Finland"	8967	1.9	1512.1375	21	1.0867	3.41	8.4
2011-02-01	"France"	204400	0.1	1467.9	-20.1	1.0867	3.60325	9.6
2011-02-01	"Germany"	224426	0	1464	8.7	1.0867	3.2	6.5
2011-02-01	"Greece"	6989	5.3	1619.25	-67.3	1.0867	11.4	16.2
2011-02-01	"Hungary"	3547	-0.9	1342.995	-28.5	6.9338	7.393	11.8
2011-02-01	"Ireland"	12569	-5.7	1430	-35.5	1.0867	9.29	15
2011-02-01	"Italy"	161303	1.3	1478.6625	-23.9	1.0867	4.7356	8.6
2011-02-01	"Latvia"	765	-4.2	1215.5975	-24.4	0.89	6.17	17.7
2011-02-01	"Lithuania"	925	-4.7	1272.7525	-22.8	1.3975	5.15	17.2
2011-02-01	"Luxembourg"	4410	0.9	1248.9275	2.4	1.0867	3.4528	4.9
2011-02-01	"Netherlands"	49019	-0.9	1602.25	9.6	1.0867	3.408	5.3
2011-02-01	"Poland"	23458	-2.7	1220.565	-18.9	4.15	6.26	10.1
2011-02-01	"Slovakia"	4816	-13.4	1399	-23.5	1.0867	4.03	14.1
2011-02-01	"Slovenia"	5445	-11.3	1279	-26.3	1.0867	4.26	8.6
2011-02-01	"Spain"	66120	0	1283.905	-15.2	1.0867	5.2578	21.2
2011-02-01	"Sweden"	20993	2.2	1530.525	24.4	1.74	3.41	8.1
2011-02-01	"United.Kingdom"	63424	2.7	1528.7075	-24.1	0.825	3.8799	7.8
2011-03-01	"Austria"	35869	-1.5	1352.25	10	1.1755	3.68	4.7
2011-03-01	"Belgium"	63533	0.6	1539.7	-1.9	1.1755	4.21	6.9
2011-03-01	"Czech.Republic"	17534	-10.5	1403.0775	-19.6	1.21	4.05	6.8
2011-03-01	"Denmark"	16760	-0.8	1622.8575	9.6	1.3074	3.289	7.7
2011-03-01	"Estonia"	1486	-1.3	1243	0.3	1.1755	NA	14.1
2011-03-01	"Finland"	12016	2	1566.25	18.2	1.1755	3.45	9.3
2011-03-01	"France"	257533	0.1	1505.85	-18.4	1.1755	3.609609	9.3
2011-03-01	"Germany"	327921	0	1586.75	8.5	1.1755	3.21	6.4
2011-03-01	"Greece"	8531	5.7	1666.75	-66.2	1.1755	12.44	16.8
2011-03-01	"Hungary"	4454	-1.6	1387.05	-37.8	6.635534	7.29	11.5
2011-03-01	"Ireland"	14391	-5.8	1445	-22.8	1.1755	10.22	14.9
