Date	Austria	Belgium	Czech.Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Slovakia	Slovenia	Spain	Sweden	United.Kingdom
01/10/2013	5.2	8.5	6.3	6.6	8.5	7.4	10.3	5.0	26.7	9.2	12.4	12.7	11.2	10.7	6.0	7.6	9.6	14.3	9.4	26.0	7.3	7.1
01/11/2013	5.6	8.5	7.0	6.5	8.7	7.9	10.6	5.0	28.7	9.1	12.2	13.0	11.2	11.4	6.1	7.6	9.7	14.2	9.5	25.9	7.5	7.0
01/12/2013	5.3	8.6	6.8	7.2	8.7	7.9	10.6	4.9	28.0	8.8	12.4	12.1	11.5	12.2	6.5	7.4	10.0	14.3	10.1	25.4	7.5	6.9
01/01/2014	6.0	8.8	6.6	7.2	9.0	8.5	10.9	5.5	27.1	8.4	12.7	13.7	11.7	12.6	6.4	8.1	10.7	14.3	10.9	26.0	8.6	6.8
01/02/2014	5.8	8.7	6.9	7.4	8.5	9.1	10.7	5.4	29.0	8.3	12.8	13.8	12.0	12.6	6.2	8.2	10.8	14.2	11.0	26.0	8.5	6.8
01/03/2014	6.1	8.6	6.9	6.8	8.2	9.5	10.4	5.4	27.5	8.1	12.6	13.1	11.9	12.2	6.0	8.1	10.4	13.9	10.5	25.8	8.6	6.5
01/04/2014	5.3	8.4	6.1	6.5	7.7	9.0	10.1	5.1	26.7	8.1	12.5	12.7	11.3	11.6	5.8	7.9	9.7	13.4	9.7	25.1	8.7	6.2
01/05/2014	5.2	8.1	6.0	6.3	7.0	10.7	9.9	4.8	27.3	8.1	12.4	12.6	10.5	11.3	5.7	7.5	9.1	13.1	9.2	24.5	8.0	6.1
01/06/2014	5.8	8.1	6.0	6.3	6.9	9.2	9.6	4.8	25.8	8.0	12.6	11.1	10.2	10.8	5.6	7.2	8.6	13.0	9.0	23.8	9.2	6.2
01/07/2014	5.7	8.7	5.7	6.5	7.1	7.0	9.5	4.7	25.2	7.7	12.6	11.8	10.5	9.6	6.0	7.0	8.3	13.0	9.3	23.7	7.1	6.2
01/08/2014	5.3	8.7	6.4	6.5	7.5	7.4	10.0	5.0	25.9	7.4	12.2	10.8	10.7	9.2	5.9	6.8	8.1	12.9	9.3	23.6	7.4	6.2
01/09/2014	5.8	8.6	5.6	6.4	7.2	8.2	10.1	4.9	25.7	7.1	11.2	12.5	10.6	8.6	6.1	7.1	8.1	12.8	9.2	23.7	7.2	6.1
01/10/2014	5.4	8.6	5.4	6.2	6.7	8.3	10.6	4.8	25.4	7.2	10.6	13.4	10.4	9.2	6.1	7.1	8.0	12.7	9.5	23.9	7.5	5.8
01/11/2014	5.6	8.5	6.1	6.1	6.3	8.2	11.0	5.0	25.9	7.1	10.3	14.3	10.3	10.1	6.2	7.1	8.1	12.6	9.5	23.8	7.4	5.4
01/12/2014	5.7	8.6	5.7	6.2	6.5	8.8	10.9	4.5	27.1	7.4	10.4	12.0	10.1	10.9	6.6	7.0	8.3	12.6	9.7	23.5	7.0	5.4
01/01/2015	5.6	8.7	6.0	6.4	6.8	8.8	11.1	4.9	26.3	7.7	10.6	12.8	9.9	10.3	6.6	7.6	8.8	12.7	9.9	23.9	8.4	5.5
01/02/2015	5.9	8.8	6.2	6.6	6.6	10.1	10.9	5.3	26.1	7.8	10.5	13.0	10.3	10.0	6.6	7.5	8.8	12.5	9.8	23.9	8.4	5.5
01/03/2015	5.9	8.8	5.8	6.7	6.9	10.3	10.6	4.8	27.7	7.6	10.4	13.1	10.5	9.6	6.4	7.3	8.4	12.1	9.6	23.6	8.0	5.4
01/04/2015	6.0	8.6	5.2	6.4	7.0	10.3	10.3	4.9	25.2	7.1	10.3	12.1	9.9	9.6	6.3	7.1	7.8	11.5	9.4	23.0	8.3	5.4
01/05/2015	5.8	8.3	4.8	6.0	6.5	11.8	10.2	4.5	23.7	6.9	10.3	12.3	9.7	9.2	6.2	6.9	7.4	11.1	9.2	22.4	8.0	5.5
01/06/2015	5.6	8.1	4.8	6.0	5.9	10.0	9.8	4.6	24.9	6.8	10.5	12.0	9.7	9.4	6.0	6.7	7.1	11.1	9.0	21.8	8.5	5.5
01/07/2015	5.6	8.2	5.1	6.2	5.2	8.4	9.7	4.6	24.5	6.7	10.3	10.6	9.8	8.6	6.4	6.5	7.1	11.3	8.9	21.3	6.5	5.6
01/08/2015	5.5	8.2	4.8	6.2	5.2	8.3	10.2	4.3	23.3	6.4	10.0	9.9	9.7	8.3	6.4	6.4	7.1	11.2	8.6	21.2	6.4	5.5
01/09/2015	5.8	8.2	4.6	5.9	5.5	8.4	10.0	4.3	24.5	6.4	9.3	11.2	9.6	8.1	6.4	6.8	7.1	11.4	8.2	21.1	6.7	5.4
01/10/2015	5.2	8.6	4.5	5.8	6.0	8.7	10.4	4.4	24.5	6.2	9.1	12.0	9.7	8.4	6.6	6.9	6.9	11.2	8.4	21.2	6.7	5.0
01/11/2015	6.2	8.7	4.4	5.8	6.4	8.2	10.7	4.5	24.3	6.2	9.0	12.1	9.8	8.7	6.6	6.6	6.9	11.0	8.3	20.9	6.2	4.8
01/12/2015	5.7	8.8	4.5	6.0	6.5	9.2	10.6	4.5	24.5	6.2	9.0	11.6	10.0	9.4	7.0	6.4	6.9	10.8	8.7	20.6	6.7	4.8
01/01/2016	6.3	8.6	4.6	6.2	6.7	9.3	10.9	4.4	25.5	6.1	8.8	12.0	10.3	8.7	6.8	6.8	7.2	10.6	9.1	21.0	7.5	5.0
01/02/2016	6.5	8.3	4.4	6.3	6.5	9.4	10.8	4.7	24.6	6.0	8.7	12.3	10.3	8.3	6.7	6.9	7.1	10.4	9.0	21.1	7.6	5.1
01/03/2016	5.9	8.2	4.1	6.3	6.9	10.1	10.3	4.6	24.7	5.8	8.8	12.1	10.1	8.1	6.5	6.7	6.8	10.1	8.6	20.9	7.7	4.9
01/04/2016	6.0	8.1	4.0	6.1	6.5	9.8	9.9	4.2	23.5	5.5	8.9	11.8	9.7	7.9	6.3	6.6	6.4	9.8	8.1	20.6	7.3	4.7
01/05/2016	6.3	7.9	3.7	6.0	6.5	10.8	9.7	4.2	23.3	5.1	9.1	11.5	9.4	8.1	6.0	6.2	6.2	9.6	7.8	20.0	7.6	4.8
01/06/2016	6.1	7.8	4.1	6.0	6.8	9.3	9.3	4.2	22.5	5.0	9.3	11.4	9.4	8.1	5.9	5.9	6.0	9.5	7.5	19.4	7.6	4.9
01/07/2016	6.1	8.1	4.3	6.2	6.7	7.8	9.2	4.2	22.6	4.9	9.1	10.7	9.6	7.8	6.1	5.8	6.0	9.5	7.4	19.0	6.3	5.0
01/08/2016	6.3	8.0	3.7	6.3	7.5	7.2	9.9	4.1	23.3	4.9	8.8	10.1	9.6	7.5	6.1	5.4	6.0	9.5	7.3	18.9	6.6	4.9
01/09/2016	6.0	7.6	3.9	6.4	6.9	7.7	9.7	3.7	22.1	4.7	7.8	11.7	9.4	7.3	6.3	5.7	5.9	9.6	7.4	18.9	6.1	4.9
01/10/2016	5.6	7.3	3.7	6.3	7.2	8.1	10.3	3.9	22.7	4.5	7.4	11.9	9.2	7.1	6.3	5.7	5.7	9.3	7.9	18.8	6.4	4.7
01/11/2016	5.7	7.1	3.5	6.1	6.6	8.1	10.5	3.9	24.1	4.4	7.1	12.6	9.2	7.4	6.3	5.5	5.5	9.1	8.0	18.8	6.2	4.5
01/12/2016	5.6	7.3	3.6	6.1	6.4	7.9	10.3	3.5	23.9	4.3	7.1	12.0	9.4	8.5	6.7	5.1	5.5	9.0	8.2	18.4	6.5	4.5
01/01/2017	5.8	7.7	3.6	6.3	6.1	9.2	10.4	4.0	23.8	4.4	7.2	12.4	9.5	8.1	6.4	5.7	5.5	8.9	8.3	18.8	7.3	4.6
01/02/2017	6.2	7.8	3.5	6.4	5.6	9.2	10.1	4.3	23.8	4.5	7.1	11.9	9.4	8.2	6.1	5.6	5.4	8.7	7.9	18.9	7.4	4.6
01/03/2017	5.9	7.6	3.3	6.0	5.7	9.6	9.7	4.0	22.6	4.6	6.9	12.1	9.2	7.9	5.8	5.4	5.2	8.5	7.2	18.6	6.8	4.5
01/04/2017	5.6	7.3	3.3	5.7	6.3	10.2	9.3	4.1	21.6	4.4	6.8	11.1	9.0	7.3	5.6	5.2	5.1	8.3	6.7	17.9	7.2	4.2
01/05/2017	5.6	7.0	2.8	5.5	7.0	10.7	9.1	3.6	21.8	4.3	6.8	11.1	8.8	6.8	5.3	5.1	5.0	8.1	6.4	17.2	7.2	4.3
01/06/2017	5.0	6.9	2.8	5.6	6.5	8.9	8.9	3.6	20.2	4.2	7.0	10.7	8.7	7.0	5.2	4.7	4.8	7.9	6.3	16.6	7.4	4.4
01/07/2017	5.5	7.4	2.9	5.8	5.8	7.5	9.1	3.6	20.2	4.2	7.2	10.7	8.7	6.7	5.4	4.6	4.7	7.9	6.5	16.3	6.6	4.4
01/08/2017	5.4	7.4	2.8	5.9	5.2	7.5	9.6	3.8	20.7	4.1	7.0	10.2	8.5	6.5	5.3	4.3	4.7	7.9	6.4	16.4	6.0	4.4
01/09/2017	5.4	7.0	2.7	5.6	5.6	8.0	9.2	3.5	19.9	4.0	6.5	10.9	8.3	6.6	5.4	4.7	4.7	8.1	6.1	16.5	6.2	4.4
01/10/2017	5.0	6.7	2.6	5.4	5.1	7.3	9.2	3.7	20.5	3.8	6.3	11.3	8.1	6.2	5.4	4.5	4.6	7.9	5.9	16.6	6.3	4.2
01/11/2017	5.5	6.3	2.3	5.1	5.3	7.1	9.2	3.4	22.0	3.8	6.1	11.5	8.1	6.5	5.5	4.4	4.5	7.7	5.7	16.6	5.8	4.2
01/12/2017	5.3	6.2	2.3	5.3	5.6	8.4	9.3	3.5	21.3	3.8	5.9	10.8	8.2	7.6	6.0	4.1	4.4	7.6	5.8	16.4	6.0	4.1
